player,game_date,signal,season_fg,season_min,l5_fg,l5_min,n5_fg,deviation,regression_occurred,filter_status
Cole Anthony,2025-11-15,BUY_LOW,0.45,19.6,0.367,18.2,0.378,-18.4,True,PASSED
Cole Anthony,2025-11-17,BUY_LOW,0.431,19.5,0.325,17.4,0.359,-24.6,True,PASSED
Cole Anthony,2025-11-20,BUY_LOW,0.419,19.6,0.256,18.2,0.441,-38.9,True,PASSED
Cole Anthony,2025-11-22,BUY_LOW,0.412,19.7,0.256,19.0,0.483,-37.8,True,PASSED
Cole Anthony,2025-11-24,BUY_LOW,0.412,19.4,0.312,18.8,0.5,-24.1,True,PASSED
Collin Gillespie,2025-11-16,BUY_LOW,0.385,23.4,0.286,21.4,0.492,-25.9,True,PASSED
Collin Gillespie,2025-11-24,SELL_HIGH,0.418,25.2,0.482,29.4,0.507,15.4,False,PASSED
Collin Gillespie,2025-11-28,SELL_HIGH,0.432,25.8,0.524,31.0,0.459,21.1,True,PASSED
Collin Murray-Boyles,2025-11-24,SELL_HIGH,0.507,19.8,0.667,18.2,0.647,31.4,True,PASSED
Collin Murray-Boyles,2025-11-26,SELL_HIGH,0.514,19.1,0.692,16.0,0.652,34.6,True,PASSED
Collin Murray-Boyles,2025-12-05,SELL_HIGH,0.548,17.9,0.652,15.0,0.667,18.9,False,PASSED
Collin Murray-Boyles,2025-12-07,SELL_HIGH,0.557,18.0,0.72,17.2,0.579,29.3,True,PASSED
Collin Murray-Boyles,2025-12-09,SELL_HIGH,0.557,17.4,0.75,15.8,0.556,34.7,True,PASSED
Collin Murray-Boyles,2025-12-15,SELL_HIGH,0.553,17.6,0.667,15.8,0.567,20.5,True,PASSED
Collin Murray-Boyles,2025-12-18,SELL_HIGH,0.562,17.5,0.684,15.6,0.471,21.8,True,PASSED
Collin Murray-Boyles,2025-12-20,SELL_HIGH,0.565,17.5,0.667,15.8,0.405,18.0,True,PASSED
Collin Sexton,2025-11-22,BUY_LOW,0.46,26.3,0.39,26.2,0.557,-15.3,True,PASSED
