player,game_date,signal,season_fg,season_min,l5_fg,l5_min,n5_fg,deviation,regression_occurred,filter_status
Bruce Brown,2025-12-31,SELL_HIGH,0.477,24.7,0.686,26.8,0.387,43.6,True,UNFILTERED
Bruce Brown,2026-01-02,SELL_HIGH,0.48,24.7,0.645,26.4,0.31,34.3,True,UNFILTERED
Bryce McGowens,2025-12-23,SELL_HIGH,0.522,17.3,0.654,19.4,0.32,25.3,True,UNFILTERED
Bryce McGowens,2025-12-26,SELL_HIGH,0.515,18.0,0.6,20.8,0.394,16.5,True,UNFILTERED
Bryce McGowens,2026-01-02,BUY_LOW,0.486,18.5,0.267,19.2,0.459,-45.1,True,UNFILTERED
Bub Carrington,2025-11-21,SELL_HIGH,0.33,26.1,0.414,23.8,0.412,25.6,True,UNFILTERED
Bub Carrington,2025-11-22,SELL_HIGH,0.344,25.5,0.481,21.4,0.341,39.9,True,UNFILTERED
Bub Carrington,2025-11-25,SELL_HIGH,0.343,25.4,0.414,19.2,0.317,20.6,True,UNFILTERED
Bub Carrington,2025-11-28,SELL_HIGH,0.361,25.2,0.464,19.8,0.317,28.6,True,UNFILTERED
Bub Carrington,2025-12-01,SELL_HIGH,0.353,25.3,0.419,21.2,0.396,18.6,True,UNFILTERED
Bub Carrington,2025-12-02,SELL_HIGH,0.352,25.1,0.412,22.2,0.397,16.8,True,UNFILTERED
Bub Carrington,2025-12-20,SELL_HIGH,0.375,27.1,0.448,35.0,0.524,19.5,False,UNFILTERED
Bub Carrington,2025-12-21,SELL_HIGH,0.374,27.4,0.467,36.4,0.564,24.6,False,UNFILTERED
Bub Carrington,2025-12-23,SELL_HIGH,0.388,27.9,0.477,37.0,0.524,23.0,False,UNFILTERED
Buddy Hield,2025-12-18,SELL_HIGH,0.412,18.8,0.476,21.8,0.476,15.5,False,UNFILTERED
Buddy Hield,2025-12-28,SELL_HIGH,0.416,17.9,0.5,14.0,0.435,20.1,True,UNFILTERED
CJ McCollum,2025-11-19,SELL_HIGH,0.394,29.5,0.47,33.0,0.518,19.1,False,UNFILTERED
CJ McCollum,2025-11-28,SELL_HIGH,0.436,29.6,0.537,30.6,0.462,23.1,True,UNFILTERED
CJ McCollum,2025-12-01,SELL_HIGH,0.433,29.7,0.518,30.2,0.471,19.5,True,UNFILTERED
CJ McCollum,2025-12-02,SELL_HIGH,0.44,30.0,0.539,31.2,0.452,22.5,True,UNFILTERED
CJ McCollum,2025-12-04,SELL_HIGH,0.436,29.7,0.511,30.8,0.463,17.2,True,UNFILTERED
CJ McCollum,2025-12-06,SELL_HIGH,0.438,29.8,0.511,31.6,0.482,16.8,True,UNFILTERED
Caleb Love,2025-12-18,SELL_HIGH,0.34,17.8,0.4,18.6,0.4,17.8,False,UNFILTERED
Caleb Love,2025-12-29,SELL_HIGH,0.357,18.5,0.426,23.0,0.484,19.3,False,UNFILTERED
Caleb Love,2025-12-31,SELL_HIGH,0.368,19.2,0.474,28.0,0.443,28.6,True,UNFILTERED
Caleb Love,2026-01-02,SELL_HIGH,0.367,19.6,0.469,30.4,0.468,27.8,True,UNFILTERED
Caleb Love,2026-01-03,SELL_HIGH,0.375,19.9,0.469,29.2,0.448,24.8,True,UNFILTERED
Cam Christie,2025-12-03,BUY_LOW,0.34,11.4,0.19,10.8,0.4,-43.9,True,UNFILTERED
Cam Christie,2025-12-05,BUY_LOW,0.345,11.7,0.227,11.8,0.333,-34.1,True,UNFILTERED
Cam Christie,2025-12-15,BUY_LOW,0.344,11.6,0.235,9.6,0.333,-31.7,True,UNFILTERED
Cam Christie,2025-12-23,BUY_LOW,0.355,11.2,0.25,9.6,0.2,-29.5,False,UNFILTERED
Cam Christie,2025-12-26,BUY_LOW,0.349,10.8,0.25,10.0,0.2,-28.4,False,UNFILTERED
Cam Spencer,2025-12-02,SELL_HIGH,0.464,20.4,0.591,23.6,0.681,27.5,False,UNFILTERED
Cam Spencer,2025-12-05,SELL_HIGH,0.478,20.5,0.619,23.2,0.579,29.5,True,UNFILTERED
Cam Spencer,2025-12-07,SELL_HIGH,0.488,20.8,0.628,23.2,0.526,28.6,True,UNFILTERED
Cam Spencer,2025-12-12,SELL_HIGH,0.486,21.3,0.574,25.8,0.536,18.2,True,UNFILTERED
Cam Spencer,2025-12-15,SELL_HIGH,0.503,21.4,0.659,25.8,0.5,31.1,True,UNFILTERED
