player,game_date,signal,season_fg,l5_fg,n5_fg,deviation,regression_occurred,regression_strength
CJ McCollum,2025-12-02,SELL_HIGH,0.44,0.539,0.452,22.5,True,0.12
CJ McCollum,2025-12-04,SELL_HIGH,0.436,0.511,0.463,17.2,True,0.36
CJ McCollum,2025-12-06,SELL_HIGH,0.438,0.511,0.482,16.8,True,0.6
Caleb Love,2025-12-18,SELL_HIGH,0.34,0.4,0.4,17.8,False,1.0
Caleb Love,2025-12-29,SELL_HIGH,0.357,0.426,0.484,19.3,False,1.86
Caleb Love,2025-12-31,SELL_HIGH,0.368,0.474,0.443,28.6,True,0.7
Caleb Love,2026-01-02,SELL_HIGH,0.367,0.469,0.468,27.8,True,0.99
Caleb Love,2026-01-03,SELL_HIGH,0.375,0.469,0.448,24.8,True,0.77
Cam Christie,2025-12-03,BUY_LOW,0.34,0.19,0.4,-43.9,True,0.4
Cam Christie,2025-12-05,BUY_LOW,0.345,0.227,0.333,-34.1,True,0.1
Cam Christie,2025-12-15,BUY_LOW,0.344,0.235,0.333,-31.7,True,0.1
Cam Christie,2025-12-23,BUY_LOW,0.355,0.25,0.2,-29.5,False,1.48
Cam Christie,2025-12-26,BUY_LOW,0.349,0.25,0.2,-28.4,False,1.5
Cam Spencer,2025-11-12,SELL_HIGH,0.442,0.513,0.4,16.1,True,0.58
Cam Spencer,2025-12-02,SELL_HIGH,0.464,0.591,0.681,27.5,False,1.71
Cam Spencer,2025-12-05,SELL_HIGH,0.478,0.619,0.579,29.5,True,0.72
Cam Spencer,2025-12-07,SELL_HIGH,0.488,0.628,0.526,28.6,True,0.27
Cam Spencer,2025-12-12,SELL_HIGH,0.486,0.574,0.536,18.2,True,0.56
Cam Spencer,2025-12-15,SELL_HIGH,0.503,0.659,0.5,31.1,True,0.02
Cam Spencer,2025-12-20,SELL_HIGH,0.515,0.681,0.426,32.2,True,0.54
Cam Whitmore,2025-11-21,SELL_HIGH,0.467,0.543,0.575,16.3,False,1.41
Cam Whitmore,2025-11-22,SELL_HIGH,0.474,0.548,0.476,15.5,True,0.03
Cam Whitmore,2025-11-25,SELL_HIGH,0.492,0.585,0.349,19.0,True,1.54
Cameron Johnson,2025-11-21,SELL_HIGH,0.418,0.5,0.577,19.5,False,1.94
Cameron Johnson,2025-11-22,SELL_HIGH,0.413,0.486,0.554,17.5,False,1.94
Cameron Johnson,2025-11-24,SELL_HIGH,0.435,0.55,0.519,26.5,True,0.73
Cameron Johnson,2025-11-28,SELL_HIGH,0.448,0.574,0.482,28.2,True,0.27
Cameron Johnson,2025-11-29,SELL_HIGH,0.468,0.608,0.404,29.9,True,0.46
Cameron Johnson,2025-12-01,SELL_HIGH,0.473,0.577,0.392,21.9,True,0.78
Cameron Johnson,2025-12-03,SELL_HIGH,0.462,0.554,0.44,19.7,True,0.25
Caris LeVert,2025-11-22,SELL_HIGH,0.507,0.615,0.436,21.3,True,0.66
Caris LeVert,2025-11-24,SELL_HIGH,0.493,0.59,0.372,19.5,True,1.26
Caris LeVert,2025-12-05,BUY_LOW,0.449,0.372,0.516,-17.2,True,0.87
Caris LeVert,2025-12-06,BUY_LOW,0.458,0.361,0.452,-21.2,True,0.07
Caris LeVert,2025-12-12,BUY_LOW,0.464,0.394,0.324,-15.1,False,2.0
Caris LeVert,2025-12-23,BUY_LOW,0.434,0.324,0.464,-25.4,True,0.27
Carter Bryant,2025-12-18,SELL_HIGH,0.333,0.429,0.5,28.6,False,1.75
Carter Bryant,2025-12-19,SELL_HIGH,0.358,0.533,0.25,48.8,True,0.62
Carter Bryant,2025-12-23,SELL_HIGH,0.352,0.462,0.25,31.2,True,0.93
Carter Bryant,2025-12-25,SELL_HIGH,0.364,0.5,0.167,37.5,True,1.44
Cason Wallace,2025-11-11,SELL_HIGH,0.423,0.528,0.405,24.7,True,0.17
Cason Wallace,2025-11-19,BUY_LOW,0.406,0.316,0.55,-22.2,True,1.61
Cason Wallace,2025-11-30,SELL_HIGH,0.445,0.55,0.448,23.5,True,0.03
Cason Wallace,2025-12-22,BUY_LOW,0.425,0.357,0.432,-15.9,True,0.11
Cason Wallace,2025-12-23,BUY_LOW,0.423,0.355,0.441,-16.1,True,0.27
Cason Wallace,2025-12-25,BUY_LOW,0.42,0.281,0.438,-33.1,True,0.12
Cason Wallace,2025-12-28,BUY_LOW,0.411,0.219,0.519,-46.8,True,0.56
Cason Wallace,2025-12-29,BUY_LOW,0.414,0.312,0.44,-24.6,True,0.25
Cedric Coward,2025-11-09,BUY_LOW,0.554,0.469,0.351,-15.3,False,2.39
Cedric Coward,2025-11-12,BUY_LOW,0.509,0.412,0.39,-19.1,False,1.23
Cedric Coward,2025-11-15,BUY_LOW,0.484,0.352,0.415,-27.3,True,0.52
Cedric Coward,2025-11-18,BUY_LOW,0.478,0.385,0.436,-19.5,True,0.44
Cedric Coward,2025-11-20,BUY_LOW,0.477,0.351,0.4,-26.4,True,0.61
Cedric Coward,2025-11-22,BUY_LOW,0.481,0.397,0.354,-17.6,False,1.5
Cedric Coward,2025-11-24,BUY_LOW,0.468,0.39,0.36,-16.7,False,1.38
Cedric Coward,2025-12-02,BUY_LOW,0.452,0.354,0.492,-21.7,True,0.4
Cedric Coward,2025-12-05,BUY_LOW,0.444,0.36,0.516,-18.9,True,0.86
Chet Holmgren,2025-11-30,BUY_LOW,0.552,0.468,0.667,-15.2,True,1.37
Chet Holmgren,2025-12-02,BUY_LOW,0.555,0.452,0.644,-18.6,True,0.86
Chet Holmgren,2025-12-28,BUY_LOW,0.563,0.469,0.65,-16.6,True,0.93
Clint Capela,2025-12-25,BUY_LOW,0.543,0.455,0.542,-16.3,True,0.01
Clint Capela,2025-12-29,BUY_LOW,0.538,0.444,0.5,-17.3,True,0.4
Cody Williams,2025-12-23,SELL_HIGH,0.34,0.412,0.5,21.2,False,2.22
Cody Williams,2025-12-27,SELL_HIGH,0.345,0.409,0.5,18.6,False,2.41
Cody Williams,2025-12-30,SELL_HIGH,0.364,0.423,0.5,16.3,False,2.29
Cody Williams,2026-01-03,SELL_HIGH,0.38,0.462,0.581,21.5,False,2.46
Cody Williams,2026-01-05,SELL_HIGH,0.398,0.5,0.529,25.8,False,1.29
Cole Anthony,2025-11-14,BUY_LOW,0.442,0.373,0.312,-15.8,False,1.86
Cole Anthony,2025-11-15,BUY_LOW,0.45,0.367,0.378,-18.4,True,0.87
Cole Anthony,2025-11-17,BUY_LOW,0.431,0.325,0.359,-24.6,True,0.68
Cole Anthony,2025-11-20,BUY_LOW,0.419,0.256,0.441,-38.9,True,0.13
Cole Anthony,2025-11-22,BUY_LOW,0.412,0.256,0.483,-37.8,True,0.45
Cole Anthony,2025-11-24,BUY_LOW,0.412,0.312,0.5,-24.1,True,0.89
Cole Anthony,2025-12-05,SELL_HIGH,0.425,0.5,0.462,17.6,True,0.49
Cole Anthony,2025-12-06,BUY_LOW,0.425,0.333,0.462,-21.6,True,0.4
Collin Gillespie,2025-11-13,BUY_LOW,0.382,0.278,0.482,-27.4,True,0.95
Collin Gillespie,2025-11-16,BUY_LOW,0.385,0.286,0.492,-25.9,True,1.07
Collin Gillespie,2025-11-24,SELL_HIGH,0.418,0.482,0.507,15.4,False,1.38
Collin Gillespie,2025-11-26,SELL_HIGH,0.424,0.492,0.486,16.1,True,0.92
Collin Gillespie,2025-11-28,SELL_HIGH,0.432,0.524,0.459,21.1,True,0.3
Collin Gillespie,2025-11-29,SELL_HIGH,0.443,0.529,0.413,19.6,True,0.35
Collin Murray-Boyles,2025-11-24,SELL_HIGH,0.507,0.667,0.647,31.4,True,0.88
Collin Murray-Boyles,2025-11-26,SELL_HIGH,0.514,0.692,0.652,34.6,True,0.77
Collin Murray-Boyles,2025-12-02,SELL_HIGH,0.519,0.636,0.667,22.6,False,1.26
Collin Murray-Boyles,2025-12-04,SELL_HIGH,0.535,0.647,0.684,21.0,False,1.33
Collin Murray-Boyles,2025-12-05,SELL_HIGH,0.548,0.652,0.667,18.9,False,1.14
Collin Murray-Boyles,2025-12-07,SELL_HIGH,0.557,0.72,0.579,29.3,True,0.14
Collin Murray-Boyles,2025-12-09,SELL_HIGH,0.557,0.75,0.556,34.7,True,0.01
Collin Murray-Boyles,2025-12-15,SELL_HIGH,0.553,0.667,0.567,20.5,True,0.12
Collin Murray-Boyles,2025-12-18,SELL_HIGH,0.562,0.684,0.471,21.8,True,0.75
Collin Murray-Boyles,2025-12-20,SELL_HIGH,0.565,0.667,0.405,18.0,True,1.57
Collin Murray-Boyles,2026-01-03,BUY_LOW,0.52,0.405,0.595,-22.2,True,0.65
Collin Murray-Boyles,2026-01-05,BUY_LOW,0.523,0.41,0.61,-21.5,True,0.78
Collin Sexton,2025-11-14,BUY_LOW,0.486,0.382,0.431,-21.4,True,0.53
Collin Sexton,2025-11-22,BUY_LOW,0.46,0.39,0.557,-15.3,True,1.39
Collin Sexton,2025-12-23,SELL_HIGH,0.489,0.565,0.462,15.6,True,0.36
Cooper Flagg,2025-11-21,SELL_HIGH,0.455,0.551,0.481,21.2,True,0.28
Cooper Flagg,2025-11-22,SELL_HIGH,0.47,0.562,0.457,19.5,True,0.14
Cooper Flagg,2025-11-24,SELL_HIGH,0.457,0.534,0.532,16.9,True,0.97
Cooper Flagg,2025-12-06,SELL_HIGH,0.475,0.553,0.489,16.3,True,0.18
Cooper Flagg,2025-12-12,SELL_HIGH,0.475,0.55,0.489,15.8,True,0.19
Cooper Flagg,2025-12-15,SELL_HIGH,0.482,0.554,0.505,15.0,True,0.33
Cooper Flagg,2025-12-29,SELL_HIGH,0.494,0.573,0.4,16.1,True,1.18
Corey Kispert,2025-11-12,SELL_HIGH,0.525,0.68,0.452,29.6,True,0.47
Corey Kispert,2025-11-21,BUY_LOW,0.474,0.381,0.535,-19.6,True,0.66
Craig Porter Jr.,2025-12-12,BUY_LOW,0.511,0.421,0.692,-17.5,True,2.03
Craig Porter Jr.,2025-12-27,SELL_HIGH,0.533,0.692,0.35,30.0,True,1.14
Craig Porter Jr.,2026-01-02,BUY_LOW,0.504,0.368,0.4,-26.9,True,0.77
